 f1 f2 f3 f4 f5 f6 f7 SubcutfatScore
85 143.267 30.1445 165.937 27.7736 188.891 24.1338 0.0629448 3
86 114.88 46.4066 124.732 49.6006 155.073 46.4113 0.20932 1
87 114.479 56.2665 130.216 64.0406 156.787 59.0171 0.116399 3.5
88 79.526 46.1411 96.5173 48.6751 129.983 47.4735 0.0665375 2.5
89 136.958 24.2776 160.672 25.2841 194.456 21.8368 0.268253 2
91 64.7539 42.0105 74.5606 42.1584 110.57 40.0928 0.0844458 2
92 74.3555 34.0726 96.1195 33.1233 142.721 31.1916 0.036445 2.5
93 74.3555 34.0726 96.1195 33.1233 142.721 31.1916 0.036445 2.5
94 74.3555 34.0726 96.1195 33.1233 142.721 31.1916 0.036445 2.5
95 74.3555 34.0726 96.1195 33.1233 142.721 31.1916 0.036445 2.5
96 74.3555 34.0726 96.1195 33.1233 142.721 31.1916 0.036445 2.5
97 74.3555 34.0726 96.1195 33.1233 142.721 31.1916 0.036445 2.5
98 74.3555 34.0726 96.1195 33.1233 142.721 31.1916 0.036445 2.5
99 74.3555 34.0726 96.1195 33.1233 142.721 31.1916 0.036445 2.5
100 74.3555 34.0726 96.1195 33.1233 142.721 31.1916 0.036445 2
101 126.069 37.5528 141.212 40.6376 168.403 33.9984 0.0825448 2
102 47.9983 38.1725 65.5395 40.0569 106.062 41.3153 0.197988 2.5
103 64.9802 35.9139 85.1962 34.2015 124.614 31.833 0.112511 2
104 38.226 37.9058 45.3361 38.3507 82.7345 35.2467 0.0677088 2.5
105 89.0985 38.5862 109.504 39.0775 141.138 38.7207 0.0625131 3
106 152.57 24.4054 172.491 27.2444 194.099 22.7678 0.0893261 3.5
107 146.591 32.2602 165.469 33.8773 191.802 30.9633 0.00877776 2.5
108 151.136 41.5618 175.767 45.9217 201.834 43.0823 0.181106 3.5
109 145.508 28.847 170.507 31.2124 201.02 28.2764 0.252045 3
110 53.1864 33.5482 74.6315 38.3846 117.254 38.1152 0.242171 2.5
111 45.9532 30.29 67.6775 34.1147 107.331 34.4016 0.192624 2.5
112 105.058 31.6781 121.388 27.3268 151.933 24.4522 0.0446239 2
113 119.161 40.8663 148.218 43.5655 176.768 39.295 0.0628112 4
114 75.2245 47.6024 89.1406 53.4305 120.642 50.1583 0.102036 2
115 159.654 18.7002 185.648 18.7841 213.742 13.2749 0.503181 3
116 109.254 51.871 128.322 57.8418 160.263 54.7361 0.073205 4
117 59.3989 53.2663 67.6446 57.5598 101.29 55.7368 0.168811 3.5
118 106.465 50.0846 117.95 49.4383 151.159 44.7354 0.0335526 1
119 163.004 25.3964 184.621 25.6879 211.319 22.067 0.0900539 3
120 147.787 28.1556 165.554 31.1208 191.24 26.4885 0.221781 4
121 142.128 20.4505 171.071 17.144 199.951 13.5372 0.180752 4
122 129.785 30.4675 144.125 31.7533 170.949 30.1169 0.140541 2
123 163.864 21.207 182.768 19.5142 203.46 18.529 0.22685 4.5
124 41.4239 42.6676 49.109 44.4671 84.8991 39.7502 0.213119 3
125 30.12 29.1106 44.2512 29.6094 86.401 29.7917 0.160096 2
126 155.359 38.7887 177.022 41.126 203.104 38.4341 0.0992481 3.5
127 146.996 22.5322 171.701 22.5028 196.154 20.2403 0.0360254 2.5
128 30.5936 41.679 37.1551 43.0823 74.7291 38.8514 0.145484 1.5
129 134.267 34.1629 154.376 37.2917 181.814 34.4782 0.0304599 3
130 149.734 20.7244 171.316 19.4836 196.024 17.765 0.0792052 2.5
131 55.6692 34.5215 75.5892 40.208 114.081 42.2736 0.0478218 1.5
132 161.118 22.1611 180.226 21.4087 203.787 16.8031 0.051743 3
133 127.506 36.7093 144.444 40.0306 173.972 36.4117 0.298093 3.5
134 157.505 20.9452 184.124 18.5371 213.419 11.0049 0.502412 3.5
135 94.5851 56.8547 116.642 66.1257 149.003 63.5084 0.215856 2
136 56.707 43.9202 78.1803 45.1713 116.381 44.6495 0.130663 2
137 91.443 31.9162 111.158 31.5333 155.029 29.0114 0.0618286 2
138 155.282 21.4731 175.586 18.5829 200.467 14.5613 0.16732 3
139 152.866 22.6705 175.681 20.1742 198.983 18.1224 0.151716 4
140 159.476 27.953 181.914 29.3633 206.562 25.443 0.067011 3
141 139.922 25.3588 160.188 25.7655 192.043 20.5491 0.0780536 4
142 127.159 29.0012 139.783 28.5987 171.146 25.4765 0.0534896 1.5
143 132.48 64.5673 154.846 72.3865 179.215 69.6674 0.167445 3.5
144 137.052 25.5429 153.432 26.6285 180.612 21.166 0.234558 3
145 166.093 10.252 185.546 8.46621 211.689 7.09923 0.0735833 3
146 146.633 27.3504 163.58 27.7922 187.903 23.7174 0.120743 2.5
147 133.039 33.7799 150.069 32.6601 179.767 27.5636 0.0421559 3
148 154.873 22.4417 179.134 22.042 207.232 18.3094 0.144967 4
149 129.634 24.2718 152.449 22.3958 192.397 19.177 0.0207963 2.5
150 157.081 27.4902 178.776 27.8673 205.421 22.5091 0.0949395 3.5
151 149.357 39.7844 168.016 42.426 191.327 39.3813 0.0440947 2.5
152 91.7883 35.1315 111.42 36.4928 149.451 34.3353 0.0791666 2
153 149.721 22.9496 169.151 22.5128 195.987 18.2432 0.103625 4
154 97.921 33.4995 115.455 33.2891 157.323 31.378 0.0817458 2
155 63.9165 58.8129 84.4363 60.2617 120.709 58.1721 0.0390634 2.5
156 40.7124 31.0829 58.5892 33.0262 101.088 33.7832 0.192336 2
157 116.808 45.0747 139.468 44.0086 178.922 38.7202 0.0283552 4
158 128.226 36.029 141.255 35.2183 169.598 30.4674 0.027822 3
159 160.843 20.3852 186.272 19.0751 209.966 14.389 0.0898502 3
160 157.971 21.6016 181.605 19.095 204.151 15.7816 0.134213 3.5
161 76.432 61.1281 85.6357 64.8937 120.785 62.8701 0.0695006 2
162 110.441 43.3371 137.276 42.1532 171.453 38.2553 0.129105 2
163 49.5963 23.8765 64.8995 26.695 120.36 26.2358 0.135772 3
164 162.28 23.6029 188.43 24.6945 214.023 21.587 0.575275 5
165 159.353 29.7065 181.335 34.2072 207.996 30.917 0.318937 5
166 33.583 30.8592 47.2253 32.1227 86.0103 32.6933 0.148839 2
167 87.8102 50.8046 104.915 51.4324 137.663 49.8451 0.0462723 2.5
168 42.7339 42.8181 52.5211 44.8835 86.4344 42.0371 0.166934 2.5
169 160.807 28.3947 182.657 28.7926 208.092 24.8053 0.0801634 3.5
170 158.255 26.1624 180.64 25.9519 208.177 22.8092 0.10122 3.5
171 99.1752 51.1873 118.028 52.6835 149.58 49.4094 0.0583886 2.5
172 78.4489 39.2817 107.692 46.3885 150.14 46.3486 0.0610519 2.5
173 129.462 34.0331 147.933 30.9569 171.198 28.3477 0.0347507 3.5
174 102.226 43.8094 121.728 42.5693 150.984 41.7992 0.031572 2.5
175 157.529 25.4249 180.242 21.7379 204.523 18.6787 0.268262 5
176 145.939 22.1297 166.464 22.6875 191.298 18.9802 0.339571 4
177 138.33 28.6335 159.306 31.0026 189.251 28.3986 0.287575 4
178 130.762 24.5526 147.319 25.5167 181.572 21.998 0.230454 2.5
179 58.8633 40.7651 77.9396 43.1584 115.744 46.6097 0.0696032 1.5
180 99.7118 30.3967 123.583 32.7414 159.9 28.2714 0.0591543 3.5
181 76.7865 40.2208 97.8955 43.6738 138.051 42.9584 0.0890977 2
182 56.8484 39.3527 81.7027 45.9103 116.947 45.2234 0.170761 2.5
183 108.52 46.0312 126.671 46.0671 155.976 45.0483 0.0452926 2.5
184 131.316 39.4276 154.947 45.0393 185.242 42.0291 0.194501 2.5
185 47.8551 33.6329 67.8967 36.1502 111.569 35.7589 0.0979253 1.5
186 136.859 29.497 158.875 29.1448 185.947 24.8634 0.0492443 3
187 131 38.8808 140.795 35.1113 163.734 26.9074 0.285749 2.5
188 138.712 35.0818 156.889 36.2162 186.763 31.9883 0.0612228 3
189 85.2388 77.7334 101.375 85.397 131.326 80.6022 0.110635 2.5
190 126.856 37.033 146.792 32.5158 177.531 29.6967 0.04259 2.5
191 133.886 32.5828 151.59 31.1 180.91 28.6046 0.094094 3
192 81.9073 65.0985 97.6557 72.0981 135.959 67.3394 0.0603529 3
193 49.5615 33.0424 71.9195 36.6 111.653 36.2844 0.265805 2
194 128.532 37.8712 148.941 38.6124 179.516 35.8947 0.0696219 3
195 139.253 62.9081 160.79 70.3651 184.927 67.0782 0.177668 4
196 139.253 62.9081 160.79 70.3651 184.927 67.0782 0.177668 4
197 37.7064 44.1424 50.3844 46.9485 85.5722 46.8431 0.0448207 2
198 139.571 31.2145 159.121 34.1727 187.18 31.2303 0.149486 3.5
199 100.245 42.2715 122.096 47.5856 158.514 43.2533 0.0720573 1.5
